6036,,1,SPRAY TRUCK SERVICE SUPERVISOR
109525,,0,Facility Maintenance Supervisor
938,,1,** UNKNOWN  JOB CODE **
105365,1080,0,Teacher
300210,,1,DIR OF QUALITY & EMPLOYEE DEVELOPME
300006,1150,0,Municipal Fire & Police Civil Service Board Secretary
7035,,1,DEPTY FIRE CHIEF
101205,1080,0,Engineering Aide Trainee
800893,,1,SUMMER FOOD CLERK
120924,,1,ASST SAFETY & OCCUP HEALTH MANAGER
172230,7065,0,Chief Fire Apparatus Technician
114215,2160,0,Accreditation Analyst
170150,7035,0,Fire Investigator
101470,,1,TRAFFIC ENGINEER
1060,,1,AUDITOR II
100124,2220,0,DHDS Accounting Section Supervisor
550908,9999,0,Ward Constable
800954,,1,STUDENT WORKER
310120,2310,0,Assistant Planning Director
123126,1201,0,Relief Emergency Communication Officer
106221,2200,0,Right-of-Way Agent II
100715,,0,Retirement Accounting Manager
320112,2100,0,Law Clerk (29 hrs)
107750,2310,0,Building Official
203205,,1,FAMILY COURT CENTER DIRECTOR
105670,2220,0,Senior Program Analyst
917,,1,** UNKNOWN  JOB CODE **
500050,9999,0,President Pro Tempore
124125,,1,LEAD CUSTODIAN
120760,1201,0,Prison Health Care Technician
300250,,1,RETIREMENT BENEFITS MANAGER
896,,0,Emergency Worker
105405,,1,EMPLOYMENT & TRAINING TECH IV
110625,1130,0,Administrative Specialist II
320234,2310,0,Director of Administration
100755,,1,CENTROPLEX BUSINESS MANAGER
111706,,1,SERVICE FEE CLERK I
450130,,1,COMMUNITY ORGANIZER
108015,,1,ADMINISTRATIVE ASSISTANTI
151592,1121,0,Scada Operator Trainee
999999,,0,Exception Job Code
121208,1150,0,Legal Investigator
170190,7080,0,Deputy Fire Chief
124226,1050,0,Cook (9.5 months)
300107,,1,ASST TO DIR OF DELMONT COMM SER CNT
5035,,1,POLICE LEGAL ADVISOR
123105,,1,EMS COMMUNICATIONS OFF I (42HR)
110135,,1,CLERK TYPIST II
350006,,0,Assistant Director of Homeland Security & Emergency Preparedness
100408,2210,0,Revenue Analyst
108545,2220,0,Sustainability & Renewable Energy Coordinator
106240,2160,0,Purchasing Analyst I
800790,,0,MAPS Intern
151245,1140,0,Electrician
102305,1200,0,Computer Programmer/Systems Analyst I
105363,1050,0,Teacher Aide
100225,2280,0,Assistant Auditing Manager
173105,7014,0,Fire Records Clerk
182119,1210,0,Deputy Constable - Captain
2404,,1,STOCK CLERK I
320152,2280,0,Chief Deputy Judicial Administrator/City Court
120,,1,PURCHASING AGENT
160320,,1,EQUIPMENT OPERATOR II
100122,2240,0,Public Works Accounting Section Supervisor
19,,1,ASST SERVICE & CITIZENS COMP OFFCR
800952,,1,COMM SER COOR
105119,1170,0,Juvenile Probation Officer/POST Certified
173431,7060,0,Assistant Chief of Special Services
800912,,1,Outreach Worker II
121105,,1,FINGERPRINT TECHNICIAN I
120270,2230,0,EMS Planning & Research Specialist
110440,1150,0,Deputy Clerk of City Court
105445,2190,0,Detention Facility Counselor
123450,2260,0,Emergency Communications Chief of Operations
1079,,1,BUDGET ANALYST I
800870,,0,DHDS Summer Worker
184117,1130,0,Animal Control Officer II
151550,1160,0,Plant Mechanic I
105710,2205,0,Quality Improvement Coordinator
105403,1160,0,Career Development Supervisor
101550,,0,Deputy Public Works Director of Engineering & Planning
100305,,1,BUDGET ANALYST I
123410,,0,Emergency Communications Training Officer
320232,,0,Director Risk & Claims Management
151510,1140,0,Treatment Plant Operator I
1037,,1,ACCOUNTANT II
102345,2220,0,Information Services Web Author
105668,2190,0,Program Analyst
800891,,0,Counselor Monitor
121227,2170,0,Abstractor
300065,2370,0,Council Administrator/Treasurer
141415,1150,0,Parking Meter Service Worker
173635,7080,0,Chief of Hazardous Materials
2505,,1,FIELD CLERK II
151632,1170,0,Traffic Signal Technician III
107605,,0,Construction Inspector I
105485,,0,Community Service Center Manager
400168,,1,Clerk
120106,,1,REGISTERED NURSE I (16 HRS./WK.)
105117,,0,Juvenile Probation Officer
106219,1180,0,Right-of-Way Agent I
110480,1170,0,Legal Administrative Supervisor
500130,8261,0,City Constable (Term 2013-2018)
105382,1080,0,Teacher (9.5 Months)
320110,,1,Law Clerk (20 hrs)
1220,,1,ASSISTANT DATA PROCESSING MANAGER
120840,,1,Emergency Preparedness Medical Response Coordinator
108400,2310,0,Drainage Maintenance Manager
2118,,1,PERSONNEL ASSISTANT
100753,2280,0,Assistant Service Fee Manager
110705,,1,COURT CLERK I
310015,2280,0,Chief WIOA Administrator
300248,,1,ASST DIR OF LAMDSCAPE & FORESTRY
1016,,1,BINGO AUDITOR I
3321,,1,EMT PARAMEDIC
460120,,1,CONFIDENTIAL ASSISTANT
400250,,1,Medical Technician (Contract)
151590,,1,ASST WASTEWATER COLL SYSTEMS MGR
173145,,1,FIRE DEPT BUDGET CONTROL OFFICER
800706,,1,Assistant Day Camp Counselor (20 hrs)
350004,,1,ASST DIR EBRP OFF OF EMERG PREPARD
1750,,1,ASST PUBLIC WORKS SUPERINTENDENT
101100,,0,Drafter
102690,1200,0,Computer/Electronics Systems Technician
405470,,0,School Crossing Guard
330060,2330,0,Buildings & Grounds Director
114110,1080,0,Communications Security Specialist
100875,2220,0,EMS Billing Manager
172125,,1,BUILDING SERVICE CHIEF
109725,2250,0,Public Works Operations Manager
100223,2260,0,Chief Auditor
105565,2280,0,Chief Service Officer
320150,,0,Deputy Judical Administrator/City Court (uncl.)
105361,2130,0,Head Start Center Supervisor
5115,,1,P PBLC INFOR OFFCR
300002,1130,1,Council Aide
120880,2220,0,Safety Officer
320190,2180,1,Attorney II (29 hrs)
151325,,1,MECHANICAL PLANT OPERATOR I
120920,2200,0,"Public Works Safety, Health & Training Officer"
184115,,1,Animal Control Officer
800685,,1,Recreational Aide
100406,,1,SENIOR REVENUE INSPECTOR
310055,2250,0,Business Development Coordinator
101405,,1,ENGINEER-IN-TRAINING APPLICANT
113130,,1,ASSISTANT INVENTORY COORDINATOR
800889,,0,Senior Counselor
171145,7060,0,Assistant Chief Fire Communications Officer
123530,,1,ASST TELECOMMUNICATIONS MANAGER
330100,2350,0,Maintenance Director
184094,,0,Animal Caretaker Supervisor
2116,,1,SEWER SERVICE SUPERVISOR
100120,,0,Accounts Supervisor
101180,2290,0,Senior Architect
151630,,1,TRAFFIC SIGNAL TECHNICIAN
7010,,1,DIST FIRE CHIEF
110112,,1,CLERK II (25 HRS./WK.)
320230,2310,0,City Prosecutor
173225,7080,0,Chief Training Officer
183135,,1,AIRPORT POLICE/ARFF CAPTAIN
108766,,1,ASSISTANT DIRECTOR OF RECYCLING
104320,2280,0,Librarian IV
173755,7085,0,Administrative Assistant to the Fire Chief
100160,2260,0,Chief Financial Analyst
151548,1120,0,Plant Mechanic Trainee
182115,1180,0,Deputy Constable - Sergeant
101445,2300,0,Professional Engineer IV
105115,,1,PROBATION OFFICER II
803009,,1,CUSTODIAL WKR I
120205,,0,EMT Intermediate
110091,1070,0,Clerical Specialist (9.5 months)
120470,,0,Emergency Preparedness Planning & Research
300103,,0,Community Outreach Specialist
101220,1170,0,Engineering Aide III
