3018,1998-01-28,M,61
4425,1956-10-15,F,21
469,1990-10-13,F,59
1876,1971-07-01,M,1
3487,1979-09-06,M,1
2345,1962-07-19,M,33
938,1964-08-07,F,59
2814,1993-02-10,F,19
3956,1995-06-02,F,21
265,1953-01-07,F,72
1407,1961-08-04,M,29
3283,1953-11-23,M,10
6301,1969-03-08,F,55
734,2005-01-14,F,46
3752,1981-02-06,F,33
5159,1984-12-02,M,39
4221,1961-09-26,F,63
11195,1973-12-05,M,58
1672,1948-01-07,M,57
3079,1963-05-19,M,67
4690,1982-08-26,F,66
530,1977-09-27,F,29
2141,1971-09-06,M,28
3548,1995-05-03,M,1
2610,2000-05-03,F,1
999,1986-09-01,F,74
61,1968-08-06,F,16
4017,1984-05-15,M,13
12133,1984-06-26,F,27
1468,1960-04-16,F,77
13071,1976-02-18,M,41
4486,1934-06-14,F,36
2406,1976-10-06,F,49
1937,1980-03-27,M,15
2875,1956-08-17,M,46
4282,1952-06-09,M,3
326,1987-09-18,F,27
1733,1994-07-20,F,57
3344,1981-09-16,M,42
4751,1993-01-08,M,35
3813,1998-08-25,F,2
2202,1948-08-17,F,44
1264,1996-10-03,F,61
2671,1992-04-22,F,35
3609,1975-10-26,F,66
122,1983-11-13,F,35
1060,1977-12-17,F,26
3140,1979-04-13,M,46
4078,1971-06-04,M,23
591,1994-10-29,F,65
1529,1992-06-20,F,43
5016,1966-01-05,F,1
4547,1963-12-30,F,9
2936,1965-03-11,F,3
1998,1998-12-15,F,40
387,1947-06-06,M,76
2467,1966-05-16,F,36
3405,1969-12-15,M,40
6892,1971-03-22,F,1
856,1939-01-22,M,23
4343,1949-08-09,F,27
3874,1962-08-10,F,61
4812,1945-06-26,M,1
1325,1965-09-19,M,39
2263,1954-08-17,M,1
1794,1960-03-30,F,54
5281,1961-12-24,M,73
3670,2000-09-17,F,44
2732,1973-09-16,F,57
4139,1989-07-20,M,74
183,1998-03-19,F,1
1590,1960-08-10,F,13
3201,1973-08-06,F,66
4608,1965-01-18,M,41
652,1958-12-08,M,61
2059,1992-06-30,M,43
1121,1959-03-02,M,59
2528,1997-02-16,M,25
2997,1961-03-09,F,1
