30105,469,AB,32004195,267.20,HH
39027,6505,WX,49671936,320.78,LO
34564,3487,IJ,68540710,32.40,HH
32143,1876,IJ,65358716,232.90,HH
34565,3487,QR,94053124,795.10,
32144,1876,YZ,2049482,72.30,
30778,938,AB,33329439,328.20,HH
32145,1876,EF,57234233,871.00,LO
30779,938,GH,56959378,37.10,LO
36599,4894,ST,81512897,487.58,LO
35235,3956,ST,20439923,603.50,HH
32853,2345,QR,31917315,332.82,LO
35236,3956,IJ,23786348,89.20,
32854,2345,QR,16879636,361.20,HH
31483,1407,UV,51198023,522.77,LO
33563,2814,QR,14418357,262.70,HH
31484,1407,ST,30396717,1488.20,HH
29799,265,EF,28306174,290.00,HH
41834,8381,IJ,59746819,695.08,LO
34267,3283,KL,5958080,872.00,HH
41835,8381,AB,88732933,74.00,HH
30476,734,YZ,88755988,222.80,HH
41836,8381,QR,19546556,803.90,
44598,10257,IJ,7045454,315.13,LO
34930,3752,IJ,56390714,321.80,HH
44599,10257,YZ,6128639,1480.10,HH
34931,3752,YZ,34449517,154.70,LO
37748,5628,QR,30017256,375.70,LO
31159,1203,EF,84286474,46.50,HH
33962,3079,IJ,45304375,23.40,HH
31160,1203,UV,74031829,323.20,
33963,3079,WX,63926827,206.50,
31161,1203,AB,89206337,11.80,IN
38431,6097,WX,87940978,315.50,HH
31162,1203,EF,31680542,34.60,
38432,6097,KL,34494578,72.80,LO
31855,1672,ST,9213483,389.80,HH
34629,3548,KL,35372984,358.60,HH
32536,2141,UV,77834790,579.60,HH
31566,1468,AB,25955593,43.90,HH
33255,2610,QR,8855772,184.20,HH
31567,1468,IJ,53378862,171.00,
29493,61,EF,20533621,164.50,HH
32234,1937,IJ,67964726,293.30,HH
29494,61,IJ,20426410,66.80,HH
31938,1733,UV,52269470,312.60,LE
32946,2406,QR,54419815,318.60,HH
31939,1733,UV,57563334,580.80,HH
29887,326,MN,44978225,188.10,HH
40906,7769,OP,57404768,408.50,LO
29888,326,EF,63815659,156.70,HH
33346,2671,QR,40581232,198.40,HH
34349,3344,KL,21086722,853.70,HH
34054,3140,OP,56121855,237.60,HH
30565,795,CD,39119124,297.60,HH
34055,3140,WX,26200568,197.80,
35026,3813,EF,81887119,564.50,HH
30271,591,WX,33145171,278.80,HH
35027,3813,KL,81905740,89.50,
40597,7565,EF,61455482,319.78,LO
35028,3813,EF,20648479,33.30,IN
40598,7565,GH,98498379,664.90,HH
31252,1264,YZ,35251403,660.50,HH
40599,7565,MN,24854338,22.80,
38541,6158,ST,22791475,516.52,LO
33745,2936,GH,70934575,424.70,HH
34712,3609,GH,7829064,212.80,HH
33746,2936,OP,93174194,840.00,LO
34713,3609,WX,36661124,423.80,
42697,8972,EF,61556398,471.90,HH
43692,9645,EF,71165287,489.30,LO
42698,8972,YZ,5877823,205.60,
43693,9645,KL,32246267,518.30,HH
42699,8972,CD,75504857,93.80,LO
31652,1529,MN,66372424,105.90,HH
34438,3405,KL,12718767,754.30,HH
31653,1529,YZ,86592346,146.30,
30647,856,UV,71847098,362.50,HH
31654,1529,QR,57476818,7.70,IN
30648,856,ST,69347637,57.10,
33032,2467,IJ,55811417,533.20,HH
30649,856,CD,45113939,13.70,IN
32730,2263,AB,68324535,792.70,HH
30650,856,KL,66175556,140.40,
33439,2732,ST,11633754,156.49,LE
35115,3874,CD,51856213,586.10,HH
29678,183,AB,5552345,520.20,HH
31347,1325,QR,62716066,36.20,HH
29679,183,GH,85986530,75.20,
31348,1325,UV,37066787,176.60,
34142,3201,YZ,11025113,335.20,HH
32020,1794,ST,3015161,286.70,HH
34143,3201,AB,88160776,289.80,
32021,1794,MN,76406907,189.00,
30350,652,YZ,56959491,759.10,HH
32022,1794,CD,95064234,19.80,IN
45210,10644,ST,68935322,749.87,LO
32023,1794,IJ,75616937,4.70,
45211,10644,GH,87092184,1105.30,HH
46258,11317,CD,66904526,529.08,LO
37625,5546,IJ,97723727,253.69,LE
46259,11317,KL,72136521,384.90,HH
42115,8564,ST,88073575,319.50,LO
46260,11317,YZ,43205881,278.40,
42116,8564,UV,59670215,717.00,HH
34820,3670,UV,46954530,296.10,HH
42117,8564,EF,30920487,548.30,
39305,6688,AB,1844835,175.30,HH
33844,2997,MN,27474618,197.80,HH
39306,6688,OP,24286341,128.20,
34521,3466,KL,45041459,249.90,HH
39307,6688,AB,44432550,57.00,IN
34522,3466,MN,77973669,10.50,
39308,6688,EF,9123272,63.80,LO
34523,3466,KL,32844662,74.20,IN
31736,1590,ST,5941856,584.70,HH
30746,917,YZ,8629411,466.90,HH
31737,1590,WX,79533683,102.50,
35200,3935,WX,62539005,118.40,LE
31738,1590,ST,99553811,55.10,IN
35201,3935,MN,30181229,264.80,HH
31739,1590,GH,23429125,12.70,
35202,3935,GH,11549193,590.80,
33139,2528,UV,51561528,282.40,HH
35203,3935,YZ,3849626,65.20,IN
44901,10440,YZ,4957092,296.00,HH
35204,3935,MN,46342325,107.00,
44902,10440,IJ,96339386,195.00,
32118,1855,MN,27503836,289.70,HH
44903,10440,AB,1623732,100.00,LO
31827,1651,IJ,71805852,158.17,LE
32821,2324,WX,80225026,415.10,HH
33225,2589,YZ,35212731,223.60,HH
33534,2793,EF,41871547,230.10,HH
33226,2589,AB,55523544,145.80,HH
29773,244,MN,74832015,219.00,HH
29461,40,ST,31161588,3.30,HH
29774,244,OP,78948193,22.60,
29462,40,MN,96111678,430.10,
29775,244,GH,7008588,23.20,IN
30172,509,IJ,50397551,626.10,LO
34240,3262,IJ,79490107,834.00,HH
33628,2854,UV,42156320,418.60,HH
30444,713,QR,13186729,358.10,HH
34326,3323,UV,78556829,349.80,HH
34894,3731,QR,48735064,197.40,HH
34994,3792,OP,13595378,351.80,HH
31128,1182,UV,22986358,166.27,LE
31912,1712,WX,3848445,162.60,HH
42200,8625,UV,74800854,197.08,LO
31623,1508,OP,10600459,165.77,LE
42201,8625,YZ,85545950,815.10,HH
31624,1508,UV,9055811,896.70,HH
34607,3527,YZ,67898595,341.40,HH
44355,10093,GH,24015391,643.60,LO
30820,978,UV,70650827,206.20,HH
44356,10093,EF,14110547,276.20,HH
35284,3996,YZ,29565316,151.10,HH
44357,10093,WX,57294940,33.10,
31538,1447,YZ,1155138,208.47,LO
44358,10093,EF,80783962,708.20,IN
31539,1447,OP,54932880,821.00,HH
36749,4995,QR,68653625,358.30,LO
32207,1916,QR,71571534,426.90,HH
33008,2446,KL,93986022,637.20,HH
32920,2385,MN,97151100,130.50,LE
29946,366,IJ,75874721,244.20,HH
29860,305,ST,77063089,295.30,HH
